Player Name;Mins Played;Total Distance (m);Top Speed (km/h);Avg Speed (km/h);High Intensity Activity;Sprints (>25.20 km/h) Dist(m);Sprints (>25.20 km/h) No;HSR (19.81-25.20 km/h) Dist(m);HSR (19.81-25.20 km/h) No;Distance (m) 14.41-19.80 km/h;Distance (m) 7.21-14.40 km/h;Distance (m) 0.73-7.20 km/h;Distance (m) <0.72 km/h
M. Gostomski;98:12;4993,8;26,7;3,05;0,0;0,0;0,0;0,0;0,0;79,08;954,5;3909,37;44,97
K. Pajnowski;98:12;9672,94;30,85;5,91;42,0;114,85;8,0;488,68;34,0;1159,26;4038,41;3758,42;113,32
Leandro;98:12;9604,62;30,56;5,87;57,0;206,18;9,0;657,54;48,0;1400,11;2768,23;4471,7;100,86
B. Rymaniak;98:12;9932,37;31,29;6,07;44,0;127,5;6,0;482,47;38,0;1127,49;3501,15;4644,88;48,88
T. Midzierski;98:12;9776,49;31,89;5,97;29,0;54,62;4,0;339,58;25,0;1169,22;3928,19;4220,28;64,6
A. Serrano;85:00;11287,95;28,48;7,97;70,0;78,93;5,0;853,8;65,0;2561,6;4644,16;2955,79;193,67
S. Krykun;89:43;10717,54;33,12;7,17;75,0;391,75;18,0;712,89;57,0;1625,41;4432,84;3497,91;56,74
T. Tymosiak;75:26;8236,57;28,9;6,55;35,0;70,73;5,0;381,69;30,0;1080,22;3476,79;3174,03;53,11
J. Gol;98:12;11343,49;26,58;6,93;29,0;15,17;1,0;364,21;28,0;2401,55;4810,49;3676,11;75,96
M. Wędrychowski (M);85:17;10462,72;29,86;7,36;58,0;71,67;4,0;742,69;54,0;1522,8;4618,54;3433,58;73,44
B. Śpiączka;89:53;9516,45;31,75;6,35;57,0;207,47;12,0;518,01;45,0;1392,97;3299,8;3906,77;191,43
D. Gąska;13:12;1530,26;27,66;6,96;14,0;33,98;3,0;229,3;11,0;324,11;559,18;322,37;61,32
M. Mak;8:29;974,96;27,45;6,9;3,0;0,0;0,0;36,87;3,0;206,91;464,82;252,46;13,9
Ł. Szramowski (M);12:56;1403,39;27,99;6,51;12,0;23,53;2,0;149,44;10,0;171,09;641,1;382,89;35,34
S. Drewniak;22:46;2694,9;25,46;7,1;14,0;6,89;1,0;143,76;13,0;477,45;1256,19;794,08;16,53
P. Banaszak;8:19;1075,06;26,94;7,75;10,0;6,82;1,0;159,0;9,0;164,64;376,37;322,48;45,75
F. Plach;98:12;5598,41;22,26;3,42;2,0;0,0;0,0;49,84;2,0;119,08;900,4;4486,67;42,42
M. Konczkowski;98:12;9950,35;31,49;6,08;47,0;194,19;12,0;405,53;35,0;1272,3;4206,64;3666,51;205,18
A. Katranis;98:12;10212,91;30,53;6,24;57,0;100,64;5,0;751,28;52,0;1572,94;4205,53;3533,1;49,42
T. Huk;98:12;9826,46;29,51;6,0;38,0;35,38;2,0;384,72;36,0;1146,62;4533,04;3525,52;201,18
A. Mosór (M);92:47;8596,4;30,18;5,56;37,0;73,59;6,0;367,46;31,0;1199,83;3274,88;3628,36;52,28
M. Ameyaw (M);61:27;7150,04;28,86;6,98;57,0;113,74;6,0;801,99;51,0;1181,32;2375,19;2667,47;10,33
D. Kądzior;98:12;11052,42;30,5;6,75;50,0;157,88;8,0;559,41;42,0;1989,17;4188,33;4140,0;17,63
P. Sokołowski;98:12;10802,69;29,88;6,6;33,0;66,43;4,0;450,32;29,0;1782,12;4533,65;3897,44;72,73
T. Alves;61:28;6930,23;32,58;6,76;60,0;338,67;17,0;495,39;43,0;1208,82;2844,0;1979,27;64,08
P. Lipski;98:12;11333,94;29,04;6,92;55,0;31,05;2,0;692,14;53,0;2110,67;4925,0;3561,59;13,49
A. Toril;87:20;9990,99;29,68;6,86;54,0;123,73;8,0;610,24;46,0;1345,42;4207,27;3689,6;14,73
T. Hateley;10:52;1298,91;22,94;7,18;4,0;0,0;0,0;75,03;4,0;275,09;522,81;425,98;0,0
A. Pyrka (M);36:45;4066,29;30,77;6,64;22,0;61,84;4,0;247,85;18,0;710,91;1543,32;1472,36;30,01
D. Steczyk;36:44;4311,04;27,61;7,04;24,0;7,13;1,0;315,43;23,0;823,47;1808,12;1317,34;39,55
T. Mokwa;5:26;709,31;21,94;7,84;0,0;0,0;0,0;0,0;0,0;139,72;321,51;195,33;42,25
